Noel Acciari,BOS,C,2016-12-12,false,MTL,0,0,0,0,0,0,0,0,0,0,1,0.0,558,14,2,0,0,0,0,0,0,0
Noel Acciari,BOS,C,2016-11-05,false,NYR,0,0,0,0,0,0,0,0,0,0,2,0.0,683,16,0,0,0,1,0,1,2,33
Noel Acciari,BOS,C,2016-10-17,false,WPG,0,1,1,0,0,0,0,0,0,0,0,0.0,728,16,3,0,0,1,0,0,0,0
Noel Acciari,BOS,C,2016-11-01,false,FLA,0,0,0,0,0,0,0,0,0,0,2,0.0,598,12,2,0,0,0,1,1,1,50
Noel Acciari,BOS,C,2016-10-13,false,CBJ,0,0,0,2,0,0,0,0,0,0,1,0.0,505,15,2,0,0,0,0,0,0,0
Noel Acciari,BOS,C,2016-12-20,false,NYI,0,0,0,0,0,0,0,0,0,0,1,0.0,567,10,3,0,1,1,0,0,0,0
Noel Acciari,BOS,C,2016-12-10,false,TOR,0,0,0,0,0,0,0,0,0,0,2,0.0,695,17,3,0,0,0,1,1,0,100
Noel Acciari,BOS,C,2016-10-20,false,NJD,0,0,0,0,0,0,0,0,0,0,2,0.0,647,12,1,1,2,0,0,2,2,50
Noel Acciari,BOS,C,2016-10-29,false,DET,0,0,1,0,0,0,0,0,0,0,0,0.0,558,15,2,0,0,0,0,0,1,0
Noel Acciari,BOS,C,2016-10-15,false,TOR,0,0,-1,0,0,0,0,0,0,0,0,0.0,752,17,3,0,0,0,2,0,0,0
Noel Acciari,BOS,C,2016-10-26,false,NYR,0,0,0,0,0,0,0,0,0,0,1,0.0,575,13,2,0,0,0,0,1,3,25
Noel Acciari,BOS,C,2016-12-14,false,PIT,0,0,-1,0,0,0,0,0,0,0,1,0.0,446,12,5,0,0,0,0,0,0,0
Sebastian Aho,CAR,R,2016-11-12,false,WSH,2,1,3,0,0,0,0,0,0,0,2,100.0,733,20,1,0,2,0,1,0,0,0
